Age, Geschlecht, Average-Risk, Avg EquivClassSize, privacyModel1, privacyModel2
2, 0, 3, 0.09578947368421052, 10, all three qi's
2, 0, 4, 0.09578947368421052, 10, all three qi's
2, 0, 5, 0.019019019019019017, 52, all three qi's
2, 1, 0, 0.10805084745762711, 9, all three qi's
2, 1, 1, 0.10805084745762711, 9, all three qi's
2, 1, 2, 0.10805084745762711, 9, all three qi's
2, 1, 3, 0.10805084745762711, 9, all three qi's
2, 1, 4, 0.0581039755351682, 17, all three qi's
2, 1, 5, 0.01, 100, all three qi's
3, 0, 0, 0.06256410256410257, 15, all three qi's
3, 0, 1, 0.06256410256410257, 15, all three qi's
3, 0, 2, 0.06256410256410257, 15, all three qi's
3, 0, 3, 0.06256410256410257, 15, all three qi's
3, 0, 4, 0.06256410256410257, 15, all three qi's
3, 0, 5, 0.011011011011011011, 90, all three qi's
3, 1, 0, 0.10805084745762711, 9, all three qi's
3, 1, 1, 0.10805084745762711, 9, all three qi's
3, 1, 2, 0.10805084745762711, 9, all three qi's
3, 1, 3, 0.10805084745762711, 9, all three qi's
3, 1, 4, 0.03535353535353535, 28, all three qi's
3, 1, 5, 0.006, 166, all three qi's
4, 0, 0, 0.08399999999999999, 11, all three qi's
4, 0, 1, 0.08399999999999999, 11, all three qi's
4, 0, 2, 0.08399999999999999, 11, all three qi's
4, 0, 3, 0.062, 16, all three qi's
4, 0, 4, 0.016, 62, all three qi's
4, 0, 5, 0.002, 500, all three qi's
4, 1, 0, 0.041999999999999996, 23, all three qi's
4, 1, 1, 0.041999999999999996, 23, all three qi's
4, 1, 2, 0.041999999999999996, 23, all three qi's
4, 1, 3, 0.031, 32, all three qi's
4, 1, 4, 0.008, 125, all three qi's
4, 1, 5, 0.001, 1000, all three qi's

0, 0, 0, 0.09578947368421052, 10, no loss metric
0, 0, 1, 0.09578947368421052, 10, no loss metric
0, 0, 2, 0.09578947368421052, 10, no loss metric
0, 0, 3, 0.09578947368421052, 10, no loss metric
0, 0, 4, 0.09578947368421052, 10, no loss metric
0, 0, 5, 0.03319919517102616, 30, no loss metric
0, 1, 0, 0.10805084745762711, 9, no loss metric
0, 1, 1, 0.10805084745762711, 9, no loss metric
0, 1, 2, 0.10805084745762711, 9, no loss metric
0, 1, 3, 0.10805084745762711, 9, no loss metric
0, 1, 4, 0.0581039755351682, 17, no loss metric
0, 1, 5, 0.07222787385554424, 13, no loss metric
1, 0, 0, 0.09578947368421052, 10, no loss metric
1, 0, 1, 0.09578947368421052, 10, no loss metric
1, 0, 2, 0.09578947368421052, 10, no loss metric
1, 0, 3, 0.09578947368421052, 10, no loss metric
1, 0, 4, 0.09578947368421052, 10, no loss metric
1, 0, 5, 0.03319919517102616, 30, no loss metric
1, 1, 0, 0.10805084745762711, 9, no loss metric
1, 1, 1, 0.10805084745762711, 9, no loss metric
1, 1, 2, 0.10805084745762711, 9, no loss metric
1, 1, 3, 0.10805084745762711, 9, no loss metric
1, 1, 4, 0.0581039755351682, 17, no loss metric
1, 1, 5, 0.018018018018018018, 55, no loss metric
2, 0, 0, 0.09578947368421052, 10, no loss metric
2, 0, 1, 0.09578947368421052, 10, no loss metric
2, 0, 2, 0.09578947368421052, 10, no loss metric
2, 0, 3, 0.09578947368421052, 10, no loss metric
2, 0, 4, 0.09578947368421052, 10, no loss metric
2, 0, 5, 0.019019019019019017, 52, no loss metric
2, 1, 0, 0.10805084745762711, 9, no loss metric
2, 1, 1, 0.10805084745762711, 9, no loss metric
2, 1, 2, 0.10805084745762711, 9, no loss metric
2, 1, 3, 0.10805084745762711, 9, no loss metric
2, 1, 4, 0.0581039755351682, 17, no loss metric
2, 1, 5, 0.01, 100, no loss metric
3, 0, 0, 0.06256410256410257, 15, no loss metric
3, 0, 1, 0.06256410256410257, 15, no loss metric
3, 0, 2, 0.06256410256410257, 15, no loss metric
3, 0, 3, 0.06256410256410257, 15, no loss metric
3, 0, 4, 0.06256410256410257, 15, no loss metric
3, 0, 5, 0.011011011011011011, 90, no loss metric
3, 1, 0, 0.10805084745762711, 9, no loss metric
3, 1, 1, 0.10805084745762711, 9, no loss metric
3, 1, 2, 0.10805084745762711, 9, no loss metric
3, 1, 3, 0.10805084745762711, 9, no loss metric
3, 1, 4, 0.03535353535353535, 28, no loss metric
3, 1, 5, 0.006, 166, no loss metric
4, 0, 0, 0.08399999999999999, 11, no loss metric
4, 0, 1, 0.08399999999999999, 11, no loss metric
4, 0, 2, 0.08399999999999999, 11, no loss metric
4, 0, 3, 0.062, 16, no loss metric
4, 0, 4, 0.016, 62, no loss metric
4, 0, 5, 0.002, 500, no loss metric
4, 1, 0, 0.041999999999999996, 23, no loss metric
4, 1, 1, 0.041999999999999996, 23, no loss metric
4, 1, 2, 0.041999999999999996, 23, no loss metric
4, 1, 3, 0.031, 32, no loss metric
4, 1, 4, 0.008, 125, no loss metric
4, 1, 5, 0.001, 1000, no loss metric

Inzidenzort, avgRisk, avgEquivClassSize, infLoss, dataSize, featureChange
0, 0.041999999999999996, 23, 0.0, 1000, Check with MinGen
1, 0.041999999999999996, 23, 0.0, 1000, Check with MinGen
2, 0.041999999999999996, 23, 0.0, 1000, Check with MinGen
3, 0.031, 32, 0.014536585299999905, 1000, Check with MinGen
4, 0.008, 125, 0.17521951209999997, 1000, Check with MinGen
5, 0.001, 1000, 1.0, 1000, Check with MinGen

0, 0.041999999999999996, 23, 0.0, 1000, Check with Node Gen
1, 0.041999999999999996, 23, 0.0, 1000, Check with Node Gen
2, 0.041999999999999996, 23, 0.0, 1000, Check with Node Gen
3, 0.031, 32, 0.014536585299999905, 1000, Check with Node Gen
4, 0.008, 125, 0.17521951209999997, 1000, Check with Node Gen
5, 0.001, 1000, 1.0, 1000, Check with Node Gen

0, 0.0084, 119, 0.0, 5000, 5000 + Node Gen
1, 0.0084, 119, 0.0, 5000, 5000 + Node Gen
2, 0.0084, 119, 0.0, 5000, 5000 + Node Gen
3, 0.006200000000000001, 161, 0.015107317000000009, 5000, 5000 + Node Gen
4, 0.0016, 625, 0.17671707310000007, 5000, 5000 + Node Gen
5, 2.0E-4, 5000, 1.0, 5000, 5000 + Node Gen

0, 0.0042, 238, 0.0, 10000, 10000 + Node Gen
1, 0.0042, 238, 0.0, 10000, 10000 + Node Gen
2, 0.0042, 238, 0.0, 10000, 10000 + Node Gen
3, 0.0031000000000000003, 322, 0.014953658500000078, 10000, 10000 + Node Gen
4, 8.0E-4, 1250, 0.17730487799999994, 10000, 10000 + Node Gen
5, 1.0E-4, 10000, 1.0, 10000, 10000 + Node Gen

0, 0.0042, 238, 0.0, 10000, k-anonymity to 10 (before: 3)
1, 0.0042, 238, 0.0, 10000, k-anonymity to 10 (before: 3)
2, 0.0042, 238, 0.0, 10000, k-anonymity to 10 (before: 3)
3, 0.0031000000000000003, 322, 0.014953658500000078, 10000, k-anonymity to 10 (before: 3)
4, 8.0E-4, 1250, 0.17730487799999994, 10000, k-anonymity to 10 (before: 3)
5, 1.0E-4, 10000, 1.0, 10000, k-anonymity to 10 (before: 3)

Geschlecht, Inzidenzort, avgRisk, avgEquivClassSize, infLoss, dataSize, featureChange
0, 0, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 10
0, 1, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 10
0, 2, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 10
0, 3, 0.006200000000000001, 161, 0.007449084817689577, 10000, Geschlecht + k-anonymity: 10
0, 4, 0.0016, 625, 0.08503680951385229, 10000, Geschlecht + k-anonymity: 10
0, 5, 2.0E-4, 5000, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 10
1, 0, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 10
1, 1, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 10
1, 2, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 10
1, 3, 0.0031000000000000003, 322, 0.42474815914953923, 10000, Geschlecht + k-anonymity: 10
1, 4, 8.0E-4, 1250, 0.5344737716885224, 10000, Geschlecht + k-anonymity: 10
1, 5, 1.0E-4, 10000, 1.0000000000000004, 10000, Geschlecht + k-anonymity: 10

0, 0, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 20
0, 1, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 20
0, 2, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 20
0, 3, 0.006200000000000001, 161, 0.007449084817689577, 10000, Geschlecht + k-anonymity: 20
0, 4, 0.0016, 625, 0.08503680951385229, 10000, Geschlecht + k-anonymity: 20
0, 5, 2.0E-4, 5000, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 20
1, 0, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 20
1, 1, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 20
1, 2, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 20
1, 3, 0.0031000000000000003, 322, 0.42474815914953923, 10000, Geschlecht + k-anonymity: 20
1, 4, 8.0E-4, 1250, 0.5344737716885224, 10000, Geschlecht + k-anonymity: 20
1, 5, 1.0E-4, 10000, 1.0000000000000004, 10000, Geschlecht + k-anonymity: 20

0, 0, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
0, 1, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
0, 2, 0.0084, 119, 0.0, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
0, 3, 0.006200000000000001, 161, 0.007449084817689577, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
0, 4, 0.0016, 625, 0.08503680951385229, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
0, 5, 2.0E-4, 5000, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
1, 0, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
1, 1, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
1, 2, 0.0042, 238, 0.41421356237309515, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
1, 3, 0.0031000000000000003, 322, 0.42474815914953923, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
1, 4, 8.0E-4, 1250, 0.5344737716885224, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)
1, 5, 1.0E-4, 10000, 1.0000000000000004, 10000, Geschlecht + k-anonymity: 20 + supprLimit: 0.5d (1d before)

0, 0, 0.0084, 119, 0.0, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
0, 1, 0.0084, 119, 0.0, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
0, 2, 0.0084, 119, 0.0, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
0, 3, 0.006200000000000001, 161, 0.007449084817689577, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
0, 4, 0.0016, 625, 0.08503680951385229, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
0, 5, 2.0E-4, 5000, 0.41421356237309515, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
1, 0, 0.0042, 238, 0.41421356237309515, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
1, 1, 0.0042, 238, 0.41421356237309515, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
1, 2, 0.0042, 238, 0.41421356237309515, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
1, 3, 0.0031000000000000003, 322, 0.42474815914953923, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
1, 4, 8.0E-4, 1250, 0.5344737716885224, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric
1, 5, 1.0E-4, 10000, 1.0000000000000004, 10000, k-anonymity: 20 + supprLimit: 0.5d (1d before) + no lossMetric

Geschlecht, Inzidenzort, avgRisk, avgEquivClassSize, infLossLow, infLossHigh, dataSize, featureChange
0, 0, 0.0084, 119, 0.0, 0.0, 10000, + infformation loss highest score
0, 1, 0.0084, 119, 0.0, 0.0, 10000, + infformation loss highest score
0, 2, 0.0084, 119, 0.0, 0.0, 10000, + infformation loss highest score
0, 3, 0.006200000000000001, 161, 0.007449084817689577, 0.007449084817689577, 10000, + infformation loss highest score
0, 4, 0.0016, 625, 0.08503680951385229, 0.08503680951385229, 10000, + infformation loss highest score
0, 5, 2.0E-4, 5000, 0.41421356237309515, 0.41421356237309515, 10000, + infformation loss highest score
1, 0, 0.0042, 238, 0.41421356237309515, 0.41421356237309515, 10000, + infformation loss highest score
1, 1, 0.0042, 238, 0.41421356237309515, 0.41421356237309515, 10000, + infformation loss highest score
1, 2, 0.0042, 238, 0.41421356237309515, 0.41421356237309515, 10000, + infformation loss highest score
1, 3, 0.0031000000000000003, 322, 0.42474815914953923, 0.42474815914953923, 10000, + infformation loss highest score
1, 4, 8.0E-4, 1250, 0.5344737716885224, 0.5344737716885224, 10000, + infformation loss highest score
1, 5, 1.0E-4, 10000, 1.0000000000000004, 1.0000000000000004, 10000, + infformation loss highest score


0, 0, 0.00168, 595, 0.0, 0.0, 50000, dataSize up
0, 1, 0.00168, 595, 0.0, 0.0, 50000, dataSize up
0, 2, 0.00168, 595, 0.0, 0.0, 50000, dataSize up
0, 3, 0.00124, 806, 0.00750646062444682, 0.00750646062444682, 50000, dataSize up
0, 4, 3.2E-4, 3125, 0.08522561437702891, 0.08522561437702891, 50000, dataSize up
0, 5, 4.0E-5, 25000, 0.41421356237309515, 0.41421356237309515, 50000, dataSize up
1, 0, 8.4E-4, 1190, 0.41421356237309515, 0.41421356237309515, 50000, dataSize up
1, 1, 8.4E-4, 1190, 0.41421356237309515, 0.41421356237309515, 50000, dataSize up
1, 2, 8.4E-4, 1190, 0.41421356237309515, 0.41421356237309515, 50000, dataSize up
1, 3, 6.2E-4, 1612, 0.4248293007936075, 0.4248293007936075, 50000, dataSize up
1, 4, 1.6E-4, 6250, 0.534740782086669, 0.534740782086669, 50000, dataSize up
1, 5, 2.0E-5, 50000, 1.0000000000000004, 1.0000000000000004, 50000, dataSize up


0, 0, 0.0033573237907603237, 297, 0.005160000000000053, 0.005160000000000053, 50000, Age
1, 0, 0.0018212019933155884, 549, 0.41468017579946337, 0.41468017579946337, 50000, Age
0, 1, 7.599999999999999E-4, 1315, 0.01818330751392705, 0.01818330751392705, 50000, Age
1, 1, 3.7999999999999997E-4, 2631, 0.4399286424680915, 0.4399286424680915, 50000, Age
0, 2, 4.0E-4, 2500, 0.04046566848695199, 0.04046566848695199, 50000, Age
1, 2, 2.0E-4, 5000, 0.4714406595578362, 0.4714406595578362, 50000, Age
0, 3, 2.3999999999999998E-4, 4166, 0.08340780733756947, 0.08340780733756947, 50000, Age
1, 3, 1.1999999999999999E-4, 8333, 0.532170014717688, 0.532170014717688, 50000, Age
0, 4, 4.0E-5, 25000, 0.41421356237309515, 0.41421356237309515, 50000, Age
1, 4, 0.0, 0, 1.0000000000000004, 1.0000000000000004, 50000, Age

0, 0, 0.0033573237907603237, 297, 0.005160000000000053, 0.005160000000000053, 50000, switched age and sex
0, 1, 7.599999999999999E-4, 1315, 0.01818330751392705, 0.01818330751392705, 50000, switched age and sex
0, 2, 4.0E-4, 2500, 0.04046566848695199, 0.04046566848695199, 50000, switched age and sex
0, 3, 2.3999999999999998E-4, 4166, 0.08340780733756947, 0.08340780733756947, 50000, switched age and sex
0, 4, 4.0E-5, 25000, 0.41421356237309515, 0.41421356237309515, 50000, switched age and sex
1, 0, 0.0018212019933155884, 549, 0.41468017579946337, 0.41468017579946337, 50000, switched age and sex
1, 1, 3.7999999999999997E-4, 2631, 0.4399286424680915, 0.4399286424680915, 50000, switched age and sex
1, 2, 2.0E-4, 5000, 0.4714406595578362, 0.4714406595578362, 50000, switched age and sex
1, 3, 1.1999999999999999E-4, 8333, 0.532170014717688, 0.532170014717688, 50000, switched age and sex
1, 4, 0.0, 0, 1.0000000000000004, 1.0000000000000004, 50000, switched age and sex
