Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords
2023-11-17 15:04:36.208, zfkd_, 1000, 0.0, -1, -1, 0, -1, -1, -1, 0,0420, 0,0263, 0,0714, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.286, zfkd_, 1000, 0.0, -1, -1, 1, -1, -1, -1, 0,0420, 0,0263, 0,0714, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.304, zfkd_, 1000, 0.0, -1, -1, 2, -1, -1, -1, 0,0420, 0,0263, 0,0714, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.385, zfkd_, 1000, 0.014536585299999905, -1, -1, 3, -1, -1, -1, 0,0310, 0,0122, 0,0625, 32, 82, 31, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.409, zfkd_, 1000, 0.17521951209999997, -1, -1, 4, -1, -1, -1, 0,0080, 0,0033, 0,0385, 125, 307, 8, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.428, zfkd_, 1000, 1.0, -1, -1, 5, -1, -1, -1, 0,0010, 0,0010, 0,0010, 1000, 1000, 1, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.258, zfkd_, 10, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.825, zfkd_, 100, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.01, 0.01, 0.01, 100, 100, 1, 100, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.9, zfkd_, 1000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.041999999999999996, 0.02631578947368421, 0.07142857142857142, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.91, zfkd_, 1000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.041999999999999996, 0.02631578947368421, 0.07142857142857142, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.939, zfkd_, 1000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.041999999999999996, 0.02631578947368421, 0.07142857142857142, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.97, zfkd_, 1000, 0.014536585299999905, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.031, 0.012195121951219513, 0.0625, 32, 82, 31, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.997, zfkd_, 1000, 0.17521951209999997, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.008, 0.003257328990228013, 0.038461538461538464, 125, 307, 8, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.025, zfkd_, 1000, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.001, 0.001, 0.001, 1000, 1000, 1, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.125, zfkd_, 5000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0084, 0.006666666666666667, 0.010638297872340425, 119, 150, 42, 5000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.14, zfkd_, 5000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0084, 0.006666666666666667, 0.010638297872340425, 119, 150, 42, 5000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.175, zfkd_, 5000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0084, 0.006666666666666667, 0.010638297872340425, 119, 150, 42, 5000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.198, zfkd_, 5000, 0.015107317000000009, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.006200000000000001, 0.002702702702702703, 0.009708737864077669, 161, 370, 31, 5000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.321, zfkd_, 5000, 0.17671707310000007, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0016, 6.666666666666666E-4, 0.008333333333333333, 625, 1500, 8, 5000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.457, zfkd_, 5000, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 2.0E-4, 2.0E-4, 2.0E-4, 5000, 5000, 1, 5000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.598, zfkd_, 10000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0042, 0.0035587188612099642, 0.0048543689320388345, 238, 281, 42, 10000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.887, zfkd_, 10000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0042, 0.0035587188612099642, 0.0048543689320388345, 238, 281, 42, 10000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.97, zfkd_, 10000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0042, 0.0035587188612099642, 0.0048543689320388345, 238, 281, 42, 10000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:34.996, zfkd_, 10000, 0.014953658500000078, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0031000000000000003, 0.00141643059490085, 0.0048543689320388345, 322, 706, 31, 10000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:35.007, zfkd_, 10000, 0.17730487799999994, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 8.0E-4, 3.2425421530479895E-4, 0.0043859649122807015, 1250, 3084, 8, 10000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:35.078, zfkd_, 10000, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 1.0E-4, 1.0E-4, 1.0E-4, 10000, 10000, 1, 10000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:35.422, zfkd_, 20000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0021, 0.0019011406844106464, 0.00234192037470726, 476, 526, 42, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:35.609, zfkd_, 20000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0021, 0.0019011406844106464, 0.00234192037470726, 476, 526, 42, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:35.652, zfkd_, 20000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0021, 0.0019011406844106464, 0.00234192037470726, 476, 526, 42, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:35.718, zfkd_, 20000, 0.0149024390000001, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0015500000000000002, 6.89655172413793E-4, 0.0022935779816513763, 645, 1450, 31, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:35.763, zfkd_, 20000, 0.1770292682000001, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 4.0E-4, 1.6329196603527107E-4, 0.0020876826722338203, 2500, 6124, 8, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:35.83, zfkd_, 20000, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 5.0E-5, 5.0E-5, 5.0E-5, 20000, 20000, 1, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:36.186, zfkd_, 50000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 8.4E-4, 8.019246190858059E-4, 9.049773755656109E-4, 1190, 1247, 42, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:36.219, zfkd_, 50000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 8.4E-4, 8.019246190858059E-4, 9.049773755656109E-4, 1190, 1247, 42, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:36.252, zfkd_, 50000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 8.4E-4, 8.019246190858059E-4, 9.049773755656109E-4, 1190, 1247, 42, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:36.309, zfkd_, 50000, 0.015069268199999986, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 6.2E-4, 2.7464982147761604E-4, 8.857395925597874E-4, 1612, 3641, 31, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:36.35, zfkd_, 50000, 0.1777146341, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 1.6E-4, 6.453278265358803E-5, 8.857395925597874E-4, 6250, 15496, 8, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:36.397, zfkd_, 50000, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 2.0E-5, 2.0E-5, 2.0E-5, 50000, 50000, 1, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:37.014, zfkd_, 75000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 5.6E-4, 5.299417064122947E-4, 6.064281382656155E-4, 1785, 1887, 42, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:37.071, zfkd_, 75000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 5.6E-4, 5.299417064122947E-4, 6.064281382656155E-4, 1785, 1887, 42, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:37.174, zfkd_, 75000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 5.6E-4, 5.299417064122947E-4, 6.064281382656155E-4, 1785, 1887, 42, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:37.497, zfkd_, 75000, 0.015148943000000026, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 4.133333333333333E-4, 1.8501387604070305E-4, 6.064281382656155E-4, 2419, 5405, 31, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:37.545, zfkd_, 75000, 0.17802699179999992, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 1.0666666666666667E-4, 4.301445285615967E-5, 5.574136008918618E-4, 9375, 23248, 8, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:37.607, zfkd_, 75000, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 1.3333333333333333E-5, 1.3333333333333333E-5, 1.3333333333333333E-5, 75000, 75000, 1, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:38.264, zfkd_, 100000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 4.2E-4, 4.020908725371934E-4, 4.351610095735422E-4, 2380, 2487, 42, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:38.34, zfkd_, 100000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 4.2E-4, 4.020908725371934E-4, 4.351610095735422E-4, 2380, 2487, 42, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:38.772, zfkd_, 100000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 4.2E-4, 4.020908725371934E-4, 4.351610095735422E-4, 2380, 2487, 42, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:39.126, zfkd_, 100000, 0.015042682900000104, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 3.1E-4, 1.4048890137679124E-4, 4.347826086956522E-4, 3225, 7118, 31, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:39.486, zfkd_, 100000, 0.1771343902, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 8.0E-5, 3.2665860908764253E-5, 4.23908435777872E-4, 12500, 30613, 8, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:40.342, zfkd_, 100000, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 1.0E-5, 1.0E-5, 1.0E-5, 100000, 100000, 1, 100000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:42.637, zfkd_, 200000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 2.1E-4, 2.0283975659229209E-4, 2.145002145002145E-4, 4761, 4930, 42, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:43.353, zfkd_, 200000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 2.1E-4, 2.0283975659229209E-4, 2.145002145002145E-4, 4761, 4930, 42, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:43.579, zfkd_, 200000, 0.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 2.1E-4, 2.0283975659229209E-4, 2.145002145002145E-4, 4761, 4930, 42, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:43.846, zfkd_, 200000, 0.01511987799999992, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 1.55E-4, 6.966699177929497E-5, 2.145002145002145E-4, 6451, 14354, 31, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:43.962, zfkd_, 200000, 0.17742085359999993, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 4.0E-5, 1.623772022408054E-5, 2.1367521367521368E-4, 25000, 61585, 8, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:44.045, zfkd_, 200000, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 5.0E-6, 5.0E-6, 5.0E-6, 200000, 200000, 1, 200000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
